,real_time-request-bases,real_time-request-end,real_time-request-exchanges,real_time-request-interval,real_time-request-methodology-vwm_twap-kind,real_time-request-methodology-vwm_twap-vwm_partition_size,real_time-request-percentiles,real_time-request-quote,real_time-request-semi_length_kind,real_time-request-semi_length_window,real_time-request-start,real_time-update_cron
KK_PR_MATICUSD,"[{'asset': 'matic', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bnus', 'cbse', 'hitb', 'krkn', 'stmp']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_MATICUSD_1S,"[{'asset': 'matic', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bnus', 'cbse', 'hitb', 'krkn', 'stmp']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/1 * * * * * *
KK_PR_MKRUSD,"[{'asset': 'mkr', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'cbse', 'gmni', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_PEPEUSD,"[{'asset': 'pepe', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['gmni', 'bfnx', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_SANDUSD,"[{'asset': 'sand', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bnus', 'cbse', 'hitb', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_SHIBUSD,"[{'asset': 'shib', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bnus', 'cbse', 'hitb', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_SOLUSD,"[{'asset': 'sol', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'cbse', 'hitb', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_STXUSD,"[{'asset': 'stx', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_TRXUSD,"[{'asset': 'trx', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'btrx', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_UNIUSD,"[{'asset': 'uni', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'cbse', 'hitb', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_PR_USDCUSD,"[{'asset': 'usdc', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfnx', 'bnus', 'gmni', 'krkn', 'stmp']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
